instance,inicio_local,fim_local,duracao_segundos,duracao_minutos
https://www.google.com/generate_204,2026-08-31 14:50:09 -0300,2026-08-31 14:50:09 -0300,60,1.0
https://www.google.com/generate_204,2026-08-31 14:59:09 -0300,2026-08-31 14:59:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-01 08:25:09 -0300,2026-09-01 08:25:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-01 08:25:09 -0300,2026-09-01 08:25:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-01 08:48:09 -0300,2026-09-01 08:48:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-01 08:54:09 -0300,2026-09-01 08:56:09 -0300,180,3.0
https://www.google.com/generate_204,2026-09-01 08:54:09 -0300,2026-09-01 08:54:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-02 06:58:09 -0300,2026-09-02 06:59:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-02 08:50:09 -0300,2026-09-02 08:51:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-02 08:54:09 -0300,2026-09-02 08:58:09 -0300,300,5.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 17:15:09 -0300,2026-09-02 17:17:09 -0300,180,3.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 18:50:09 -0300,2026-09-02 18:51:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-02 18:51:09 -0300,2026-09-02 18:51:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 19:08:09 -0300,2026-09-02 19:08:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-02 20:02:09 -0300,2026-09-02 20:02:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 20:03:09 -0300,2026-09-02 20:03:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 20:09:09 -0300,2026-09-02 20:11:09 -0300,180,3.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-02 20:19:09 -0300,2026-09-02 20:19:09 -0300,60,1.0
