instance,inicio_local,fim_local,inicio_utc,fim_utc,duracao_segundos,duracao_minutos
8.8.8.8,2026-08-31 14:50:09 -0300,2026-08-31 14:50:09 -0300,2026-08-31 17:50:09 UTC,2026-08-31 17:50:09 UTC,60,1.0
8.8.8.8,2026-08-31 14:56:09 -0300,2026-08-31 15:00:09 -0300,2026-08-31 17:56:09 UTC,2026-08-31 18:00:09 UTC,300,5.0
1.1.1.1,2026-08-31 14:59:09 -0300,2026-08-31 15:00:09 -0300,2026-08-31 17:59:09 UTC,2026-08-31 18:00:09 UTC,120,2.0
1.1.1.1,2026-09-01 06:17:09 -0300,2026-09-01 06:17:09 -0300,2026-09-01 09:17:09 UTC,2026-09-01 09:17:09 UTC,60,1.0
1.1.1.1,2026-09-01 08:25:09 -0300,2026-09-01 08:25:09 -0300,2026-09-01 11:25:09 UTC,2026-09-01 11:25:09 UTC,60,1.0
8.8.8.8,2026-09-01 08:25:09 -0300,2026-09-01 08:25:09 -0300,2026-09-01 11:25:09 UTC,2026-09-01 11:25:09 UTC,60,1.0
1.1.1.1,2026-09-01 08:48:09 -0300,2026-09-01 08:50:09 -0300,2026-09-01 11:48:09 UTC,2026-09-01 11:50:09 UTC,180,3.0
1.1.1.1,2026-09-01 08:54:09 -0300,2026-09-01 08:56:09 -0300,2026-09-01 11:54:09 UTC,2026-09-01 11:56:09 UTC,180,3.0
8.8.8.8,2026-09-01 08:54:09 -0300,2026-09-01 08:55:09 -0300,2026-09-01 11:54:09 UTC,2026-09-01 11:55:09 UTC,120,2.0
8.8.8.8,2026-09-01 22:48:09 -0300,2026-09-01 22:48:09 -0300,2026-09-02 01:48:09 UTC,2026-09-02 01:48:09 UTC,60,1.0
1.1.1.1,2026-09-02 06:58:09 -0300,2026-09-02 06:58:09 -0300,2026-09-02 09:58:09 UTC,2026-09-02 09:58:09 UTC,60,1.0
8.8.8.8,2026-09-02 06:58:09 -0300,2026-09-02 06:58:09 -0300,2026-09-02 09:58:09 UTC,2026-09-02 09:58:09 UTC,60,1.0
1.1.1.1,2026-09-02 08:50:09 -0300,2026-09-02 08:50:09 -0300,2026-09-02 11:50:09 UTC,2026-09-02 11:50:09 UTC,60,1.0
8.8.8.8,2026-09-02 08:50:09 -0300,2026-09-02 08:50:09 -0300,2026-09-02 11:50:09 UTC,2026-09-02 11:50:09 UTC,60,1.0
1.1.1.1,2026-09-02 08:54:09 -0300,2026-09-02 08:54:09 -0300,2026-09-02 11:54:09 UTC,2026-09-02 11:54:09 UTC,60,1.0
8.8.8.8,2026-09-02 08:54:09 -0300,2026-09-02 08:58:09 -0300,2026-09-02 11:54:09 UTC,2026-09-02 11:58:09 UTC,300,5.0
8.8.8.8,2026-09-02 09:07:09 -0300,2026-09-02 09:07:09 -0300,2026-09-02 12:07:09 UTC,2026-09-02 12:07:09 UTC,60,1.0
8.8.8.8,2026-09-02 09:46:09 -0300,2026-09-02 09:46:09 -0300,2026-09-02 12:46:09 UTC,2026-09-02 12:46:09 UTC,60,1.0
8.8.8.8,2026-09-02 17:15:09 -0300,2026-09-02 17:18:09 -0300,2026-09-02 20:15:09 UTC,2026-09-02 20:18:09 UTC,240,4.0
1.1.1.1,2026-09-02 17:16:09 -0300,2026-09-02 17:18:09 -0300,2026-09-02 20:16:09 UTC,2026-09-02 20:18:09 UTC,180,3.0
8.8.8.8,2026-09-02 18:50:09 -0300,2026-09-02 18:50:09 -0300,2026-09-02 21:50:09 UTC,2026-09-02 21:50:09 UTC,60,1.0
8.8.8.8,2026-09-02 19:08:09 -0300,2026-09-02 19:08:09 -0300,2026-09-02 22:08:09 UTC,2026-09-02 22:08:09 UTC,60,1.0
8.8.8.8,2026-09-02 20:00:09 -0300,2026-09-02 20:05:09 -0300,2026-09-02 23:00:09 UTC,2026-09-02 23:05:09 UTC,360,6.0
1.1.1.1,2026-09-02 20:01:09 -0300,2026-09-02 20:11:09 -0300,2026-09-02 23:01:09 UTC,2026-09-02 23:11:09 UTC,660,11.0
