hora_local,download_mbps,upload_mbps,ping_ms
2026-08-31 14:22:09 -0300,419.70,881.34,5.93
2026-08-31 20:22:09 -0300,441.73,865.69,4.04
2026-09-01 02:22:09 -0300,441.97,849.85,4.92
2026-09-01 08:22:09 -0300,506.89,894.81,5.04
2026-09-01 20:22:09 -0300,459.11,901.91,4.48
2026-09-02 08:22:09 -0300,490.26,888.95,5.21
2026-09-02 14:22:09 -0300,431.58,877.06,4.85
2026-09-03 02:22:09 -0300,802.61,898.88,39.22
2026-09-03 08:22:09 -0300,777.11,840.78,39.77
2026-09-03 17:52:09 -0300,465.87,861.67,4.16
2026-09-03 23:52:09 -0300,789.72,881.83,43.73
2026-09-04 11:52:09 -0300,931.09,652.93,53.02
2026-09-04 23:52:09 -0300,897.25,759.03,12.59
2026-09-05 11:52:09 -0300,928.12,437.34,25.39
2026-09-05 17:52:09 -0300,691.20,934.49,3.27
2026-09-05 23:52:09 -0300,706.26,932.67,2.22
2026-09-06 11:52:09 -0300,688.24,934.11,3.76
2026-09-06 17:52:09 -0300,0.00,0.00,0.00
2026-09-06 23:52:09 -0300,744.33,935.58,2.71
2026-09-07 05:52:09 -0300,699.80,934.80,3.15
